ID	ORF	Product	Symbol	L.dono_2.5vs0hr_logFC	L.dono_2.5vs0hr_test	L.dono_5vs0hr_logFC	L.dono_5vs0hr_test	L.dono_7.5vs0hr_logFC	L.dono_7.5vs0hr_test	L.dono_10vs0hr_logFC	L.dono_10vs0hr_test	L.dono_15vs0hr_logFC	L.dono_15vs0hr_test	L.dono_24vs0hr_logFC	L.dono_24vs0hr_test	L.dono_144vs0hr_logFC	L.dono_144vs0hr_test
4768296	LinJ07.0030	histone-lysine N-methyltransferase - putative	DOT1A	-0.0288167837896527	0	-0.279782560828746	0	-0.316625079459911	0	-0.749617265010546	0	-0.666224671170335	0	-0.744735000681311	0	-1.53641531799588	-1
4768532	LinJ08.1190	histone deacetylase - putative	N/A	-0.510347755359465	0	-0.487235780927492	0	-0.709515604878288	0	-0.178837477751323	0	-0.642171107064984	0	-1.0259987299538	-1	-0.853691417982503	-1
4768688	LinJ09.1400	histone H2B	N/A	0.549859567347573	0	0.930389245947001	0	0.712207373379005	0	0.980922869565482	0	0.876100105437386	0	1.15735753415428	1	1.09800817631212	1
4770258	LinJ20.0030	histone-lysine N-methyltransferase - putative	DOT1B	-0.232655820485473	0	-0.187879495028117	0	-0.186083394134707	0	-0.415332583136109	0	-0.353675101117345	0	-0.681355173426189	0	-1.55001096834381	-1
4771886	LinJ27.0830	putative histone H1	N/A	0.0406898947060856	0	0.185517494468948	0	0.278762581631828	0	0.577492703254118	0	0.0677456699315027	0	0.223799738987574	0	1.2537393281914	1
4772089	LinJ28.0210	histone H2B variant	H2BV	-0.627837099542932	0	-0.869355200646339	0	-1.26197910746635	-1	-1.15528024583435	-1	-1.29961510340882	-1	-1.16414215691188	-1	-0.923391670480253	-1
4772609	LinJ29.2000	histone H2A - putative	N/A	-0.123529335625336	0	0.119051452119863	0	0.153537523159422	0	0.0666208933764363	0	0.26567273723473	0	0.195699098751899	0	1.07978827033197	1
4774147	LinJ33.3030	h1 histone-like protein	N/A	0.270725616716089	0	0.139473093485229	0	-0.0667459688438612	0	-0.391779863616134	0	0.0633362243624518	0	0.134803203135874	0	-0.901235823512824	-1
4774746	LinJ35.1400	histone H4	N/A	-0.133375852628507	0	-0.501391082536934	0	-0.34988784609185	0	-0.652147865530653	0	-0.522898681308398	0	-0.684987778297419	0	-1.36954376429833	-1
