PlasmoDB_GeneID	ExonID	NCountsBloodR1	NCountsBloodR2	NCountsOocystR1	NCountsOocystR2	NCountsSporozoiteR1	NCountsSporozoiteR2
PF3D7_1200400	E001	3.144530945	0	0	0	0	0
PF3D7_1200400	E002	0.786132736	0	0	0	2.186364485	1.970271057
PF3D7_1200600	E001	0.786132736	0	0	0.332565741	0	0
PF3D7_1200600	E002	0	2.259826192	0	0.332565741	0	0
PF3D7_1219300	E001	0	0	0	0	0	0
PF3D7_1219300	E002	12.57812378	31.63756669	10.42874183	1.330262964	150.8591495	27.5837948
PF3D7_1240300	E001	0.786132736	0	0	0	0	0
PF3D7_1240300	E002	0.786132736	4.519652385	0	0.665131482	8.74545794	15.76216846
PF3D7_1240400	E001	0	0	0	0	0	0
PF3D7_1240400	E002	3.930663682	6.779478577	1.042874183	0.332565741	17.49091588	25.61352374
PF3D7_1240600	E001	0	0	0	0	0	0
PF3D7_1240600	E002	1.572265473	23.35153732	0	1.330262964	2.186364485	43.34596326
PF3D7_1255200	E001	0.786132736	0	46.92933823	19.28881298	174.9091588	171.413582
PF3D7_1255200	E002	0.786132736	2.259826192	0	0.332565741	4.37272897	5.910813171
PF3D7_1300100	E001	0	0	0	0	0	0
PF3D7_1300100	E002	1.572265473	0.753275397	0	0	2.186364485	5.910813171
PF3D7_1300300	E001	0.786132736	0	0	0.332565741	0	0
PF3D7_1300300	E002	1.572265473	0.753275397	0	0	0	1.970271057
PF3D7_1373500	E001	1.572265473	0	0	0	0	0
PF3D7_1373500	E002	0.786132736	1.506550795	0	0	2.186364485	9.851355285
