PlasmoDB_GeneID	PfBloodR1	PfBloodR2	PfOocystR1	PfOocystR2	PfSporozoiteR1	PfSporozoiteR2
PF3D7_1029900	188.73341	312.2520134	6.236133167	4.436504612	98.39546685	127.800087
PF3D7_1030000	21.48185154	14.59121558	27.61716117	18.3375524	54.98570206	71.00004832
PF3D7_1030100	111.2453026	99.94982673	102.4507592	93.16659686	28.93984319	23.66668277
PF3D7_1030200	31.45556833	47.42145064	1.781752334	4.140737638	2103.9266	1954.867997
PF3D7_1030300	250.1101287	275.0444137	43.65293217	33.42166808	570.1149109	430.7336265
PF3D7_1030400	3.068835935	2.918243116	2.6726285	5.915339483	11.57593728	0
PF3D7_1030500	36.82603122	19.69814104	87.30586434	57.97032693	0	0
PF3D7_1030600	26.08510545	8.02516857	51.67081767	65.06873431	0	0
PF3D7_1030700	15.34417967	5.836486233	12.47226633	12.42221291	0	2.366668277
PF3D7_1030800	9.206507805	13.13209402	3.563504667	6.211106457	11.57593728	14.20000966
PF3D7_1030900	74.41927142	174.3650262	0	0	0	0
PF3D7_1031000	3270.611898	9830.101937	4.454380834	5.915339483	0	0
PF3D7_1031100	4.603253902	1.459121558	8.908761668	2.366135793	2.893984319	2.366668277
PF3D7_1031200	19.18022459	78.79256414	0	0.295766974	2.893984319	2.366668277
PF3D7_1031300	18.41301561	21.15726259	41.87117984	35.4920369	2.893984319	2.366668277
PF3D7_1031400.1	0	0	0	0	0	0
PF3D7_1031400.2	0	2.918243116	0.890876167	0	2.893984319	0
PF3D7_1031500	76.72089837	132.050501	73.94272184	85.7724225	272.034526	165.6667794
PF3D7_1031600	6.13767187	5.836486233	20.49015184	11.83067897	2.893984319	21.3000145
PF3D7_1031700	8.439298821	25.53462727	45.4346845	29.57669742	159.1691375	130.1667553
PF3D7_1031800	7.672089837	10.21385091	5.345257001	8.57724225	34.72781183	75.73338488
PF3D7_1031900	16.11138866	32.10067428	3.563504667	7.689941328	101.2894512	250.8668374
PF3D7_1032000	79.78973431	160.5033714	28.50803734	29.57669742	11.57593728	4.733336555
PF3D7_1032100	186.4317831	146.6417166	174.6117287	157.9395642	700.3442052	629.5337618
PF3D7_1032200	23.01626951	55.44661921	0	0.591533948	0	0
PF3D7_1032300	9.206507805	35.74847817	20.49015184	23.66135793	11.57593728	4.733336555
PF3D7_1032400	0.767208984	4.377364674	70.37921717	79.56131605	0	2.366668277
PF3D7_1032500	32.9899863	32.10067428	105.1233877	87.54702435	5.787968638	14.20000966
PF3D7_1032600	7.672089837	35.74847817	5.345257001	5.619572509	2.893984319	4.733336555
PF3D7_1032700	32.22277732	40.12584285	23.16278034	18.3375524	1117.077947	946.667311
PF3D7_1032800	4.603253902	10.94341169	3.563504667	6.802640406	2.893984319	0
PF3D7_1032900	31.45556833	22.61638415	25.83540884	24.84442583	14.4699216	11.83334139
PF3D7_1033000	9.206507805	18.23901948	63.25220784	56.49149206	0	2.366668277
PF3D7_1033100	748.0287592	322.4658644	435.6384455	516.4091369	4442.26593	4430.403015
PF3D7_1033200	178.7596932	1.459121558	25.83540884	22.47829004	5.787968638	2.366668277
PF3D7_1033300	9.206507805	1.459121558	23.16278034	18.63331937	0	0
PF3D7_1033400	242.4380389	13.8616548	181.738738	142.2639146	5.787968638	0
PF3D7_1033500	86.69461516	75.87432102	53.45257001	45.25234705	159.1691375	196.433467
PF3D7_1033600	94.366705	64.93090934	154.1215768	135.1655072	92.60749821	59.16670694
PF3D7_1033700	160.3466776	141.5347911	132.7405488	134.2782063	20.25789023	16.56667794
PF3D7_1033800	206.3792166	529.6611256	0.890876167	0.591533948	0	0
PF3D7_1033900	106.6420487	243.6733002	14.25401867	29.87246439	457.2495224	359.7335782
PF3D7_1034000	66.74718159	103.5976306	49.88906534	45.84388099	2.893984319	18.93334622
PF3D7_1034100	4.603253902	10.21385091	1.781752334	1.774601845	0	0
PF3D7_1034200	25.31789646	57.63530155	8.908761668	8.57724225	0	0
PF3D7_1034300	24.55068748	56.17617999	2.6726285	3.253436716	0	0
PF3D7_1034400	3.836044919	20.42770181	224.500794	307.0061192	0	0
PF3D7_1034500	14.57697069	40.85540363	54.34344617	61.22376365	0	2.366668277
PF3D7_1034600	4.603253902	13.8616548	18.7083995	27.21056162	23.15187455	21.3000145
PF3D7_1034700	23.7834785	92.65421894	13.3631425	8.57724225	2.893984319	0
PF3D7_1034800	9.206507805	31.3711135	62.36133167	54.12535627	2.893984319	0
PF3D7_1034900	124.2878554	68.57871323	171.9391002	141.9681476	5.787968638	14.20000966
PF3D7_1035000	49.10137496	41.58496441	31.18066584	16.85871753	0	0
PF3D7_1035100	11.50813476	40.12584285	0.890876167	0.295766974	0	0
PF3D7_1035200	0	0	0	0	0	0
PF3D7_1035300	1.534417967	6.566047012	0	0.591533948	5.787968638	2.366668277
PF3D7_1035400	1.534417967	1.459121558	0	1.478834871	23.15187455	14.20000966
PF3D7_1035500	3.068835935	0	0	0.295766974	2.893984319	2.366668277
PF3D7_1035600	0	0	0	0	0	0
PF3D7_1035700	2.301626951	8.02516857	0	0	0	0
PF3D7_1035800	1845.904815	0	0.890876167	0.295766974	0	0
PF3D7_1035900	3.068835935	0	0	0.295766974	0	0
PF3D7_1036000	0	0.729560779	0	0	0	0
PF3D7_1036300	0	0.729560779	0	0	5.787968638	0
