Gene.Name.or.Symbol	logFC	test	stage
AP2IV5	0.13346608	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2X7	0.055000887	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2X8	0.501693852	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2X10	-0.181747887	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2X11	-0.293107156	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2XI5	-0.679882568	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2V1	-0.031483378	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2X4	1.047054542	1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2X3	-0.611987481	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2X2	0.21897261	0	Tachy_2dpi_vitro_vs_Oocyst_0d
SIR2	-0.918598177	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
HDAC3	0.771726905	1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2X1	0.317810219	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VIII2	-0.068431687	0	Tachy_2dpi_vitro_vs_Oocyst_0d
SAG1	3.979990241	1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VI1	1.361578612	1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VI2	-0.21493947	0	Tachy_2dpi_vitro_vs_Oocyst_0d
GCN5B	0.063054378	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2XII3	-0.239524818	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2XII4	0.267710822	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2XII6	1.390417314	1	Tachy_2dpi_vitro_vs_Oocyst_0d
HDAC2	0.662894256	1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2III1	-0.312385817	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2III2	-0.260984345	0	Tachy_2dpi_vitro_vs_Oocyst_0d
GCN5A	-0.247085253	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VIIB3	1.210790599	1	Tachy_2dpi_vitro_vs_Oocyst_0d
BAG1	1.129790651	1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VIII7	0.735174197	1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VIII6	-0.422608886	0	Tachy_2dpi_vitro_vs_Oocyst_0d
SAG2A	3.10452061	1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VIII3	0.207342342	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VIIA2	1.187771695	1	Tachy_2dpi_vitro_vs_Oocyst_0d
HDAC1	-0.820627054	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VIIA8	0.182966418	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2VIIA9	-0.444716583	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2IX4	0.206893303	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2IX5	-1.538030459	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2IX6	-1.299602772	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
LDH2	0.457907757	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2III3	-3.837527159	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2XI1	-0.293432356	0	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2XI4	-0.22912274	0	Tachy_2dpi_vitro_vs_Oocyst_0d
MYSTA	-0.528123382	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2IV2	-0.909232992	-1	Tachy_2dpi_vitro_vs_Oocyst_0d
AP2IV1	-0.402556529	0	Tachy_2dpi_vitro_vs_Oocyst_0d
HDAC5	0.401235138	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIIA7	-0.943566597	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIIA5	-1.203539024	-1	Brady_4dpi_vitro_vs_Oocyst_0d
