Gene.ID	ToxoDB_ID	Gene.Name.or.Symbol	Oocyst_4vs0d_logFC	Oocyst_4vs0d_test	Oocyst_10vs0d_logFC	Oocyst_10vs0d_test	Tachy_2dpi_vitro_vs_Oocyst_0d_logFC	Tachy_2dpi_vitro_vs_Oocyst_0d_test	Brady_4dpi_vitro_vs_Oocyst_0d_logFC	Brady_4dpi_vitro_vs_Oocyst_0d_test	Brady_8dpi_vitro_vs_Oocyst_0d_logFC	Brady_8dpi_vitro_vs_Oocyst_0d_test	Brady_21dpi_vivo_vs_Oocyst_0d_logFC	Brady_21dpi_vivo_vs_Oocyst_0d_test
TGME49_208450	25.m00003	PI2	4.5654748685	1	3.983992625	1	2.0230602585	1	0.602635083	0	1.591977655	1	2.0113764825	1
TGME49_293790	83.m01239	N/A	1.8492510835	1	1.4309245885	1	0.187941384500002	0	3.177009929	1	3.3988402895	1	4.6769514685	1
TGME49_267400	57.m00005	RPL32	-0.420002047999998	0	1.4709097555	1	3.07069947	1	3.316113204	1	3.199189304	1	3.918781892	1
TGME49_200230	8.m00176	MIC17C	4.2744420575	1	2.361134829	1	0.565738536999999	1	1.7466108165	1	2.276036867	1	3.0574758	1
TGME49_203790	20.m00390	N/A	3.768201744	1	2.373964381	1	1.549417086	1	1.97885539	1	2.411135978	1	2.19701807	1
TGME49_214290	33.m02668	N/A	1.9183445485	1	2.261614794	1	2.269568713	1	2.714152051	1	2.6290677355	1	2.375718354	1
TGME49_227280	42.m00013	GRA3	0.185704649000001	0	1.6902175525	1	3.2917022235	1	2.866935825	1	2.9394914245	1	3.1494376145	1
TGME49_261740	55.m04955	N/A	2.556836519	1	1.5679462195	1	3.329931902	1	2.5495190465	1	2.7794350915	1	1.2674747895	1
TGME49_208740	25.m00212	N/A	0.0393979145000012	0	-0.078666672999999	0	2.323041016	1	4.2339261725	1	4.2838108615	1	3.231134853	1
TGME49_214080	33.m02185	N/A	2.982554979	1	2.6931717965	1	1.039583251	1	2.144767146	1	1.911755412	1	3.185519777	1
TGME49_208370	25.m01804	N/A	3.169903587	1	2.796181732	1	2.2736578135	1	1.911587663	1	2.2519534955	1	1.529992045	1
TGME49_212290	28.m00306	RPS19	-0.973730973499999	-1	1.971346192	1	3.313542821	1	3.118421731	1	3.410035544	1	3.0173190145	1
TGME49_238250	49.m03096	RPL36	-1.916670844	-1	0.943708821500004	1	3.5380457165	1	3.673653157	1	3.599060086	1	3.989820018	1
TGME49_211290	27.m00091	ROP15	2.45777269	1	1.988662937	1	3.319946113	1	1.708818427	1	2.243691108	1	2.0373461525	1
TGME49_280570	72.m00004	SRS35A	-0.718898867999997	-1	-1.063875504	-1	2.0787496645	1	4.5714765025	1	4.1707147965	1	4.6956924135	1
TGME49_289600	80.m00008	HSP29	3.186464449	1	3.463674149	1	2.033508275	1	0.992678866000002	1	1.877868344	1	2.1567215025	1
TGME49_208030	25.m00006	MIC4	2.341334939	1	2.8096585595	1	3.1804611425	1	1.1308186685	1	1.7300652785	1	2.45358749	1
TGME49_289370	80.m02214	N/A	4.6801421715	1	2.8919215095	1	1.1744307395	1	0.988160504499998	1	1.778188583	1	2.0680605695	1
TGME49_309820	583.m00014	RPL11	-0.865043204499998	-1	1.150062392	1	3.4368234275	1	3.031074681	1	3.2218746995	1	3.585925606	1
TGME49_293740	83.m02720	N/A	3.3262656315	1	2.4888986135	1	1.4473185355	1	1.639567726	1	1.8743519555	1	2.7722707895	1
TGME49_204340	20.m03858	N/A	2.8498149005	1	2.182944821	1	2.1168363525	1	2.4663902535	1	2.5373933495	1	1.3484896465	1
TGME49_293430	83.m01211	N/A	3.812349711	1	3.010642658	1	2.4035174075	1	1.405216456	1	1.552178999	1	1.2934889365	1
TGME49_309990	583.m00595	N/A	3.9385535495	1	2.897100835	1	0.0707337595000013	0	1.5684584315	1	1.983683428	1	3.003778308	1
TGME49_316340	583.m00707	N/A	3.1077844895	1	2.566058731	1	2.4294418195	1	2.28083672	1	1.749054504	1	1.26956406	1
TGME49_316710	583.m09154	N/A	4.2528743285	1	3.3211775785	1	1.722939533	1	0.9192883915	1	1.374958335	1	1.7329864995	1
