	GSM802515	GSM802516	GSM802517	GSM802518	GSM802519	GSM802520	GSM802521	GSM802522	GSM802523	GSM802524	GSM802525	GSM802526	GSM802527	GSM802528
25.m00188_at	3.351835744	3.377272137	3.359776953	3.430849874	3.59352391	3.784575227	3.492685933	3.317989118	3.277526086	3.670424025	3.323903087	3.857467963	3.94359529	3.9312749
25.m00190_at	9.06012927	8.135801436	5.816319212	5.355915625	5.266761051	5.425939281	4.854870041	4.509042719	3.352235907	3.595939518	3.294167932	3.749400845	3.441599869	2.997678094
25.m00193_at	3.317351295	3.179456078	4.481896069	4.084151515	3.130792253	4.146508563	4.228654559	4.286889663	3.917318951	4.107248125	4.663594233	4.838772287	4.564839038	5.054016325
25.m00197_at	4.847462136	5.019396442	4.694843563	5.449413508	5.5045645	5.665377292	5.244578101	5.597848911	5.775177986	5.525077729	5.288289065	5.263391876	5.260193715	5.16656783
25.m00198_at	5.833132863	5.867231032	3.986987092	3.451549324	5.088315973	5.120203093	6.029046791	5.933557218	5.461203735	5.545129833	6.026045492	5.976043528	6.030018667	6.140149258
25.m00200_at	5.093310459	4.72441444	3.501902837	2.81864675	4.742272907	5.050164375	6.224876759	6.196208002	6.070829977	5.699088219	5.356820914	5.459700151	5.449806495	5.602974232
25.m00201_at	3.784499438	3.792816182	4.15291704	4.314488913	3.74390536	3.646321286	4.167911379	4.268901264	3.955480518	4.176731256	3.672615857	3.413081951	4.135994339	4.358874941
25.m00202_at	3.970845636	3.935150608	4.9986656	4.379028032	4.574334945	4.569326914	5.302040061	5.517917169	4.578455524	4.860202815	4.13034002	4.136684067	4.764851131	4.818561239
25.m00203_at	7.505310471	7.840880465	6.9389106	7.396491269	7.463657522	7.383567776	5.548033886	5.654378956	6.927872331	7.064905376	7.044114909	7.041500833	6.844649497	6.83663296
25.m00204_at	6.271460982	6.766373255	5.554580525	5.00045648	5.928746139	6.042070056	5.86857653	5.546657517	5.058625667	4.815452644	5.036232803	4.878796826	4.945908578	4.700991391
25.m00205_at	8.009551167	7.55620859	5.012105138	4.520561105	4.837094939	4.89459444	4.274782232	3.990195289	2.920096794	3.368520294	5.393690249	5.36938188	4.616396825	4.094936379
25.m00206_at	4.504884914	4.472277887	3.591083753	4.3074323	4.246541385	4.1225722	5.18959479	5.148648393	4.751526214	4.575300227	5.064728122	5.063370409	5.192339807	5.329739663
25.m00208_at	4.018504308	4.262025811	5.349308243	5.434703244	5.271187639	5.147041459	4.162410407	4.718122954	4.206715603	4.386116089	4.300798071	4.471765279	3.876798449	4.237173074
25.m00210_at	9.743177112	10.21752098	7.935583057	6.679548053	7.798301312	7.806215124	4.463375303	4.321472576	3.527895038	3.558619315	3.629655429	4.248908291	3.722386903	3.823695561
25.m00211_at	4.671306799	5.003487757	3.349228741	3.333337545	4.663595891	4.504867173	5.318845844	5.966192159	6.042534443	5.797481345	5.835278671	5.741333134	5.816913814	5.993170592
25.m00212_at	4.147477387	4.34603884	3.803176513	4.769135543	4.428613295	3.907569586	7.364626927	7.591159006	6.689220638	6.450377621	8.469224147	8.492144425	8.583734811	8.477403139
25.m00214_at	3.378308085	3.338398748	3.744459258	3.596132678	4.01416771	4.062889316	3.519680582	3.336540395	3.379121178	3.729822047	3.771427321	3.5436452	3.982035356	3.512531115
25.m00215_at	3.76940864	4.105858274	3.944154606	4.043411828	3.82343213	4.17875553	4.369110004	4.060217197	4.081508531	4.093128604	4.220009707	4.080072768	4.415225574	4.313160279
25.m00216_at	6.580489976	6.861239333	4.90988823	3.659671648	6.433056463	6.581215868	9.117394401	8.959796763	8.493739659	8.624046475	8.811595763	8.781698502	8.766231224	8.735620283
25.m00217_at	4.16389484	4.033335449	3.569491467	4.12684708	4.736755589	4.679973923	5.307562152	5.281601209	5.570761572	5.43008513	5.352304352	5.144230489	5.065154936	5.063727374
25.m00219_at	3.794016063	3.353314127	3.33150141	3.851812284	3.536157764	3.958532573	4.268686977	4.314126364	4.392398	4.394821409	4.272772294	4.393672038	4.57196274	4.56887066
25.m00220_at	5.623344948	5.802094987	6.18950559	6.809094943	6.119233329	6.41025262	5.251901109	4.97902329	5.007324215	5.011621965	4.623921159	4.915510352	4.596148419	4.898650041
25.m00221_at	4.832964973	5.308730799	3.034121944	2.81870583	2.693903747	3.314215168	7.50684002	7.333614868	8.141191795	8.122411124	7.823270845	7.688853326	8.20811034	8.205280774
25.m01736_at	5.17897676	5.391894562	6.352741755	6.656552912	5.811210453	5.758299476	5.769707507	6.055659351	5.25736669	5.393439543	5.54105008	5.733242527	5.571107594	5.571920852
25.m01737_at	5.64037678	5.525131776	4.897286272	5.440149468	4.981842194	4.820619778	4.538298831	4.906540759	4.650038632	4.726956306	4.985958912	4.635692068	4.867000361	4.848650866
25.m01738_at	5.287345138	5.622819055	4.471255138	4.913289428	4.807378155	4.95253596	4.260103662	4.509622855	4.588920117	4.250786741	4.414799418	4.56027076	3.955550792	4.505156601
25.m01739_at	3.800287079	4.554089111	4.315033055	3.625929499	3.852074917	3.972027784	4.605082617	4.436842917	4.253198806	4.16591874	4.32721142	4.753348596	4.809336104	4.586751673
25.m01740_at	5.006491664	5.175284574	4.07663326	5.282486394	4.799994616	4.939724969	4.795102741	4.816604254	5.422990246	5.060184332	4.986520482	5.049056073	5.061052116	5.024881386
25.m01742_at	3.425635201	3.575976805	3.469088395	3.436266048	3.944576391	3.450973285	3.311678551	3.832692971	3.833202205	3.968543022	3.649088922	4.028279687	3.752701896	4.019677591
25.m01745_at	3.446940807	3.340514967	3.792826442	3.758550888	3.17496453	3.321612017	4.069756736	4.195399767	3.438621325	3.422534349	3.513954134	3.844349719	3.917667051	4.133165429
25.m01746_at	3.331517746	3.731511218	3.284483859	3.681147976	3.456754592	3.239719637	3.668255918	3.023751727	3.000232702	3.135312206	3.412350858	3.083255144	3.320640589	3.229888167
25.m01748_at	3.580077988	3.284358428	3.41606609	3.540347625	3.319449551	3.603773131	3.509621065	3.505273089	3.775215001	3.727777757	3.692032088	3.959408838	3.691168071	4.103170659
25.m01749_at	3.54640938	3.376449504	3.31790406	3.769029779	4.091333058	4.018093886	3.701249414	3.957295869	3.881214226	3.785546693	4.068197826	4.251022839	4.394683759	4.431280036
25.m01750_at	6.839392327	5.577536557	4.841114948	4.250519702	4.644553384	4.690880801	3.678785944	3.32857746	2.869175642	3.18647196	2.792757057	3.197363656	2.964593227	3.208312418
25.m01768_at	3.317191728	3.274403323	3.064923305	3.021956358	3.093912185	3.235572998	3.437343298	3.147605873	4.061499472	3.24264521	4.086448416	4.004935772	4.1895206	4.493207118
25.m01769_at	3.78946364	3.654599069	4.049298936	4.687199228	4.579810344	4.641253731	4.501346097	4.678365128	5.169597365	5.034888194	4.903966471	4.722646496	4.886338951	5.02585116
25.m01771_at	4.044074018	4.057480558	4.047623688	4.546320672	3.739012695	3.578491498	4.232829009	4.46265902	3.603070223	3.715849826	4.475423968	4.315405352	4.190282346	4.092992489
25.m01773_at	4.397041335	4.626980198	4.924089147	5.894539542	6.344844946	6.352798905	4.650021153	4.758047094	4.461060005	4.73859119	4.774234513	4.846465357	4.913178507	5.18270259
25.m01774_at	8.279227123	8.915000663	6.123785734	4.21411006	6.034392378	6.177036949	4.06097262	3.669662181	3.268459945	3.159355091	2.905753915	3.403366232	3.464857651	2.734688867
25.m01775_at	3.591649948	3.121001073	6.3418872	5.793337232	5.348233972	5.185534097	3.732686793	3.604414484	3.418806046	3.332916625	3.139691526	2.966283751	2.797109578	3.467849224
25.m01777_at	4.484482308	4.312953017	4.991577918	3.715527968	3.906120955	3.808477567	4.921728082	4.675837679	4.608786235	4.737446533	4.632704553	4.44791323	5.199720381	5.11863834
25.m01780_at	5.318873976	5.021278779	4.345658721	3.852847661	4.492754295	4.644078894	4.155584897	4.041783993	4.303802915	4.037226565	4.221585879	4.213382083	4.010730605	4.171055569
25.m01782_at	4.553608016	4.454157401	4.955353048	4.915453152	4.545625642	4.396509007	4.106114235	4.522704355	4.116841555	4.130808151	4.247604927	4.581263281	4.528522796	4.039534348
25.m01785_at	3.653394751	3.656893241	4.116169801	4.59765199	4.461599036	4.406488696	4.37107674	3.842491018	4.127860201	3.914412996	4.042967084	4.219070781	4.607529417	4.474741156
25.m01787_at	3.651239963	4.020349075	4.489366394	5.380257326	4.736232659	4.752189526	4.647307831	4.746074157	4.415557019	4.160466119	4.188354135	4.070119671	4.132810297	4.522443631
25.m01788_at	3.481179363	3.38001219	4.031568117	3.764455587	4.724252501	4.692091248	3.575560138	3.701588637	3.560056472	3.860820308	3.965299356	3.497656781	3.580875376	3.258635436
25.m01789_at	3.999394247	4.151184297	3.489612943	3.844396302	4.079884563	4.235399064	3.926247808	3.846194493	4.469114522	4.501636912	4.547797385	4.21614209	4.602721958	4.744755645
25.m01791_at	3.739737576	4.074011051	3.647268477	3.753565065	3.790026245	3.642605035	3.70509548	3.207643396	3.272242957	3.411727075	3.515982849	3.185185897	3.840225119	3.309851395
25.m01792_at	3.532788331	3.438080379	3.79456298	4.446652474	4.249361422	4.39455703	3.559290791	3.81100223	4.177646619	3.764311703	3.753116054	3.73756058	4.114142075	4.468262863
25.m01793_at	5.973528655	6.205392706	6.046122256	6.977638685	6.236280253	5.923903642	4.560901462	4.431955836	3.942736851	4.34426665	4.269582799	4.197266388	4.359336612	4.026657498
25.m01794_at	3.475048587	3.666441774	2.825019281	3.652916159	3.467520361	3.26227444	3.87836881	3.468430964	3.653024363	3.132752704	3.755874855	3.503838817	3.289039437	3.481348884
25.m01796_at	3.186434499	3.138608521	4.171718975	3.949013265	4.167901113	4.106977418	3.752021075	4.264308895	4.271998746	4.254320087	4.272070054	4.315814332	4.471064381	4.722447129
25.m01797_at	3.266403486	3.810378144	3.753520488	3.541810657	3.650890824	3.14062233	4.108937041	3.732529424	3.955182267	3.644779911	3.648725298	3.450419058	3.45541173	3.15624005
25.m01798_at	3.448911274	3.844541443	3.361416952	3.195098211	3.212297126	3.751169986	3.321409498	4.113221879	3.892392954	3.643101321	3.734458067	3.187798751	3.778525175	3.40793076
25.m01799_at	4.708933334	5.025406432	4.446914201	4.250365914	5.579361604	5.536921656	5.241584942	4.928783286	5.169002665	5.199442007	5.167931034	5.453454114	5.380732118	5.196936119
25.m01800_at	5.405680589	5.706178316	5.723564673	5.447912075	5.687334079	5.738753688	5.531650686	5.833212654	5.03167345	5.242872226	5.524931991	5.667479532	5.495937262	5.505829086
25.m01803_at	6.378608009	6.292323146	5.691422372	5.772721905	5.34707352	5.51105086	5.696415105	5.369923376	4.386010383	4.545614855	4.930903746	4.996677884	4.75738357	4.75942891
25.m01804_at	4.116558013	4.557254446	7.196130166	7.817489467	7.260716266	7.005459657	5.624083384	6.109713165	6.761815613	6.459312473	6.196064227	6.300923558	6.540011827	6.637707623
25.m01805_at	3.921637243	3.790437642	7.527603283	6.451366499	6.534029203	6.54477159	4.55053861	4.323067354	3.760469281	3.530697368	5.927510249	5.562727769	5.345286732	5.198923792
25.m01807_at	3.818272283	3.89418764	4.097239209	4.615584298	3.619668648	3.724682092	3.500018407	4.411007859	3.910066687	3.562068385	3.676487797	3.776775587	3.753984619	3.416100475
25.m01808_at	5.330793738	4.92162189	4.465300199	4.454011923	4.232220184	4.315012304	5.069015197	4.915852868	4.568140815	4.807845803	4.622156025	4.582577948	4.643112051	4.280232452
25.m01810_at	4.251057766	4.743215878	3.226807445	2.944346176	4.600220899	4.784437646	6.232418807	6.528468171	6.340943366	6.367718555	6.41284927	6.426652612	6.729493527	6.87990314
25.m01812_at	5.581450144	6.280573555	4.466011202	4.987813874	5.320231114	5.460611979	5.981292119	5.665016883	5.085280816	5.214518526	5.208266411	5.098916967	5.236963471	5.325393403
25.m01814_at	4.04578284	3.936529194	4.392163375	4.364764642	3.726375095	3.825424988	4.510092259	3.861349555	3.768248516	4.300712251	3.997218922	4.113022411	3.96903765	3.666069816
25.m01815_at	4.125731248	3.741708566	3.636151605	3.856529459	3.795462683	3.935761504	3.98348848	3.875312954	3.2840833	3.390203363	3.417867726	3.339584412	3.60855143	3.325069356
25.m01816_at	3.648646586	3.336851758	4.125066101	4.246957402	4.146775351	4.056529483	4.251542586	3.842062143	4.221809478	4.073443942	3.713031762	3.515247527	4.227561724	4.472918569
25.m01817_at	3.588831954	3.440111403	5.251111466	5.872427342	4.611884366	4.70829296	4.188785003	4.091607494	4.922266374	4.486617118	3.776702229	3.170390189	3.478655075	3.701878765
25.m01818_at	3.671903022	4.09261295	3.697981951	3.820108853	3.74215365	3.556796734	4.015845024	3.910011789	3.609857249	4.033853179	4.549848402	4.001528127	4.114482542	4.088984877
25.m01819_at	3.287922221	3.183024522	3.409482431	3.601998089	5.064672063	4.774512649	3.193235968	3.41625475	3.340314945	3.250907037	3.770695296	3.679371902	3.788974775	3.72247697
25.m01820_at	4.956733083	4.83289648	3.81510268	4.138017976	3.779916345	3.865508995	4.410787269	4.585797574	4.609192847	4.730710473	4.745232935	4.761759077	4.85895664	4.851768555
25.m01822_at	4.229822849	4.007742023	3.916513134	4.516481089	4.325167102	4.375819327	6.459669236	6.67542519	5.381782791	4.875374318	6.558349321	6.637521852	6.422884634	6.586014362
25.m01824_at	5.257781318	4.815883202	3.814960584	4.815285868	4.592433805	4.388062637	4.536561258	4.632588492	4.66355659	4.55762438	4.201611021	4.171300276	3.94641894	4.673167105
25.m01825_at	3.507515357	3.650644681	5.145711361	4.618456722	4.731237757	4.126176885	3.794651921	3.837953706	3.72535318	3.400208933	3.457480853	3.599094849	3.225911561	3.453864917
25.m01826_at	3.755002759	3.693052426	3.333980248	3.764213602	4.013424131	3.720597263	3.628452625	3.837937042	4.102867238	4.038303634	4.385215795	3.855425098	4.080157891	3.945970153
25.m01827_at	4.246559965	3.960355862	3.074857408	3.367687132	4.920479151	5.163591804	5.297241603	5.670744446	5.354264258	5.559697971	5.277919544	5.286839694	5.224241679	5.442065038
25.m01829_at	5.605691956	5.565859025	4.311237147	3.557968061	4.426152884	4.105705425	3.678007075	3.957320159	3.265386123	3.554402294	3.300443655	3.826973996	3.324369135	3.387070209
25.m01830_at	6.450221111	6.567660552	5.018559802	4.855105894	4.979281068	4.797118994	4.991828397	4.859387039	4.496751374	4.749196703	4.679079811	4.451178127	4.758487977	4.621208442
25.m01831_at	3.614585662	3.589944318	3.370898953	3.443758985	2.828032432	3.152318943	4.676982698	4.561780369	5.109992975	5.323500571	5.143181556	5.184291094	5.74813404	6.02516925
25.m01833_at	4.099575779	4.361026988	4.609567183	3.868543147	3.854386529	3.70296085	4.732603256	4.350318517	4.836301283	4.907782443	4.495948499	4.790829163	4.262888239	4.669820798
25.m01835_at	3.747670855	3.449973711	3.836448471	3.315465704	3.357943699	3.624502285	3.635243952	3.235153518	3.374146374	3.387040911	3.237317037	3.242107014	3.56016291	3.481820057
25.m01836_at	4.283378626	4.550544023	4.615857269	3.906062202	4.420050233	4.230561194	4.239553898	4.109490528	3.770131507	3.812002243	3.853058864	3.939504759	3.989459824	3.528950628
25.m01837_at	5.280042081	6.552304144	5.651055876	5.270071953	5.261006394	5.373185803	4.843505696	4.587617356	5.022855636	4.819183927	5.185277236	5.161691751	5.076563752	4.987860081
25.m01838_at	4.532344442	4.450055243	4.118634211	3.940638807	4.331158659	4.404233319	4.489409733	4.536103151	3.634394084	4.321885583	4.073567341	4.157366514	4.039708852	3.604414719
25.m01841_at	4.042575157	3.382979747	3.983734425	4.131354598	3.8569216	3.344845075	3.54793789	3.854636002	3.814933805	3.221433276	4.468166108	4.409175799	4.359618938	4.538579949
25.m01842_at	3.883993454	4.078229888	5.243982957	4.675592845	4.000931686	3.962424513	4.047228811	3.752121797	4.270877017	4.000788574	3.70609307	3.865017392	3.749076223	3.616961728
25.m01843_at	3.172468397	2.970220176	3.283314893	2.996392058	2.815156877	2.733513932	3.243638388	3.318401641	3.429775922	3.728609824	4.053865331	3.194933421	3.91186872	4.179750199
25.m01844_at	6.030104515	6.255623416	5.488962511	5.986201353	5.529118427	5.614569168	4.692733836	4.612058457	4.425517209	4.311106844	4.601773087	4.505078946	4.301890098	4.288474479
25.m01845_at	4.068619574	4.10160596	4.149258169	4.127508575	4.066132827	3.816083567	3.563367358	4.360984615	3.696888266	3.812230428	4.121383714	4.202863416	3.543276127	3.842168032
25.m01846_at	4.322093943	4.207712926	3.560609357	3.466395215	3.504220199	3.95042134	4.550864019	4.151887368	4.467066228	4.648190631	4.626273363	4.75999231	4.609983721	4.656275997
25.m01846_x_at	4.084345744	4.023663941	3.302987212	3.648550533	3.613729095	3.516896157	4.089605823	3.659537896	4.349453162	4.457857673	4.923256682	4.640612725	4.62890826	4.896834709
25.m01847_at	3.554392182	3.57810003	4.205330697	3.909146916	3.815702049	3.406584181	3.647687675	3.840214975	3.829348098	4.040863611	3.983223863	3.496526753	3.477977096	3.204853334
25.m01848_at	4.290472341	4.496707186	3.94825815	4.196391357	3.518158309	3.790981102	4.337801446	4.020198785	4.381696788	4.623313717	4.212524188	4.245007633	4.065052644	4.497784822
25.m01849_at	3.758675008	3.438826673	3.177346166	3.901470382	3.297811502	3.127535108	3.790998059	3.401607478	4.063665307	4.045412887	3.604342611	3.722744159	4.280353973	3.505775391
25.m01850_at	3.496574965	3.570285373	4.731492651	4.345139192	3.912031939	3.791153477	3.926002166	3.780018014	4.18740552	3.84011721	3.592379096	3.776805121	3.573141601	3.330423952
25.m01851_at	5.799847068	6.1258457	4.373012787	4.219349197	4.374112273	4.375984525	4.732652068	4.827345858	5.124703569	4.974268579	5.026643682	4.807389843	4.486337449	4.332771233
25.m01852_at	3.343595381	3.215880224	3.95753922	3.816681662	3.2429345	3.87954808	3.949182486	3.780840289	3.913791733	4.107239745	4.361880238	4.502149579	3.917810597	4.398134472
25.m01853_at	4.23312047	3.906009325	3.650683337	3.440778924	3.660109798	3.530650671	3.380465076	3.680564806	3.736137287	4.137708807	3.550385837	3.887089865	4.014949123	3.751357228
25.m01854_at	3.495548762	3.188383112	3.403722904	3.355420959	3.62305745	3.61117526	3.051478642	2.951681798	3.17009774	3.358988416	3.20761064	3.252606141	3.177293766	3.183251851
25.m01855_at	3.940941424	3.608380076	4.684203837	3.872279979	3.826521589	3.760008067	4.549917617	4.133910289	4.627742811	4.474091447	4.731110263	4.571989576	4.714500847	4.903479043
25.m01856_at	3.830606123	5.024500726	4.289576355	4.296833679	4.073870272	4.04463722	3.843992357	3.920874669	3.416723472	3.96322888	3.82538432	4.175295233	4.12560616	3.696471946
25.m01857_at	3.962319259	4.125421561	4.005330293	4.009030961	4.022624755	4.05269075	4.291675804	4.289611536	4.016632336	3.877928261	3.864014368	3.904677348	3.825094739	3.8039515
25.m01859_at	3.58396114	3.661625715	4.056345061	3.860782024	3.915537469	4.133368433	3.497061396	3.835731654	4.010671186	3.906588606	3.936715877	3.894329984	3.754266184	3.644719441
25.m01861_at	3.837292714	3.880836465	3.421326667	3.816397144	4.433267015	4.081649569	3.559375166	3.454804465	3.95465896	3.716242852	3.831029273	3.593721758	3.661914471	3.56500079
25.m01862_at	3.252417751	3.490061856	2.991816264	3.932925324	3.548435426	3.722538591	2.976697031	3.575009866	3.56557854	3.246596338	3.44908726	3.132617337	3.391410885	3.495396282
25.m01863_at	5.462176724	5.17355006	3.287740586	3.983365549	4.820335128	4.852177622	4.400897196	4.341724201	5.579406245	5.335702336	4.871736754	4.613940254	5.141433042	5.148351362
25.m01865_at	3.538257985	3.734162234	3.245656294	3.195306323	3.833498174	3.519617776	3.704761446	3.152039655	4.056369957	3.694080181	3.732657926	3.296470543	3.665279289	3.689544056
25.m01866_at	5.041125217	5.055812888	4.827137969	4.996980519	4.323629981	4.349329286	4.333693169	4.564621326	4.054709382	4.013934241	4.215453406	4.167261649	4.156342102	3.779450428
25.m01868_at	5.403356916	4.736006713	4.393503442	3.712369995	4.148293696	4.265880574	3.541483894	3.669963559	3.057289547	3.091614599	2.924780967	3.177629828	3.143825827	2.936479541
25.m01869_at	5.71448071	5.826778803	6.324131215	6.067798361	5.7038802	5.726106145	5.416929313	5.320345677	4.510349618	4.571215509	5.369653074	5.243671704	5.391536867	5.337760928
25.m01872_at	4.316409416	4.19687902	3.953683986	3.606407514	4.304116451	4.371821017	3.37015836	3.374676068	3.385331469	3.418675712	3.645102381	3.495763484	3.432408014	3.249581638
25.m01874_at	4.475441458	4.318968119	4.22150264	4.349261256	4.466728871	3.821746637	3.727100907	4.200940761	4.11999576	3.610933796	3.630880033	3.355367801	3.328942859	3.625431006
25.m01875_at	4.251653247	4.227777086	4.213126492	4.239461472	4.303761897	4.221533304	4.140348116	4.100540451	3.948183687	3.665063818	3.392941856	3.864577775	4.236504001	4.144130816
25.m01879_at	3.650298582	3.654197591	3.422167236	3.195665894	4.627764755	4.271109981	3.15089067	3.438992417	3.320558172	3.535915739	3.419608018	3.345931445	3.800621839	3.526714667
25.m01880_at	4.075016183	4.177722448	3.802614558	3.770046964	3.431256044	3.351458334	3.707906848	3.847813004	4.111749326	4.070576743	4.154191931	4.101163354	4.0876754	4.043362723
25.m01881_at	3.449869929	3.309594946	3.290948926	3.658259831	3.228161435	3.39794533	3.645536032	3.416366031	3.56748032	3.596321885	3.582880891	3.553657033	3.675443644	3.385272433
25.m01882_at	4.30977096	4.983071735	4.441823185	5.159621417	5.420091921	5.52710275	6.59753214	6.496857405	5.559005742	5.440832051	5.450056383	5.519778944	5.416458207	5.538499923
25.m01884_at	9.195452238	9.467876766	6.571568344	6.551444891	7.478602671	7.539530116	7.011566858	6.951095378	6.297042296	6.409200433	6.590779368	6.687674504	6.732574983	6.893574798
25.m01885_at	4.699710571	4.67001192	3.83339694	4.060114915	3.84425829	3.979787839	4.969128652	5.143006022	5.074918312	5.264524924	5.123543998	4.93118414	4.899775858	4.914851563
25.m01886_at	4.105053174	3.954771179	3.638218877	3.899303436	3.572607927	3.712557	3.733826175	3.631412852	3.429992317	3.136232236	3.212783085	3.445024573	3.859921578	3.629688463
25.m01887_at	2.724544015	2.907899706	2.822604116	2.949899266	2.686399936	2.917799419	3.136087202	3.391628175	3.307197012	2.756104248	3.836792601	3.408789687	3.632857782	3.553765923
25.m01887_x_at	2.839180917	3.0239146	3.16738352	3.351992812	2.709063602	2.673379995	3.232601109	3.126026877	3.11480108	2.965844118	4.031162319	3.866497088	4.015203996	4.286443502
25.m01888_at	3.657514616	3.625101666	2.895026577	3.237505114	2.625523895	2.934612993	7.057070749	7.262002195	4.699248878	4.285074131	7.812185394	7.723546494	7.23803665	7.511309957
25.m01889_at	3.908198016	4.509087565	3.889905182	3.593959553	4.148356462	4.033579171	4.13260611	4.334457492	4.081081708	4.341122356	4.139042058	3.86664673	4.356256642	4.449821248
25.m01891_at	4.338745568	4.470257815	7.886516857	6.99812197	6.227339892	6.302766387	4.784502811	4.820091756	3.915559018	4.266612813	6.500738936	6.47337367	5.900522136	5.464431996
25.m01892_at	3.8535936	3.864766475	3.381185335	4.171207593	3.853961687	3.63907953	3.565369978	4.231337015	3.808330073	3.999346734	4.256770847	4.205866805	4.412383593	4.635214014
25.m01893_at	3.021120447	2.847342137	2.766250245	2.837777566	3.039974056	3.356710774	2.825644764	2.953745379	3.345396028	3.405508865	2.944561749	3.190378841	2.826341318	3.432770339
25.m01893_x_at	3.089902887	3.291721586	3.459296995	3.174465002	2.993285442	2.908446788	2.999971716	3.075688347	3.822236195	3.887909852	3.558852328	3.515613422	3.321916269	3.427414319
25.m01895_at	4.16418904	4.032904925	3.867633588	5.036975706	4.769477447	4.98134281	4.394637993	4.323097194	4.819895909	4.516060221	4.226463332	4.315488055	4.441970566	4.517284166
25.m01896_at	4.611155538	4.537928977	4.287223272	4.434217908	4.070078405	4.275133636	4.404699742	4.402235371	4.45149698	4.563400362	4.430463911	4.463698731	4.455053601	4.139943515
25.m01899_at	3.851524826	3.725474267	9.563989372	9.601506703	7.723666844	7.63339716	3.852718689	4.61546627	3.046829841	3.345893328	3.465346636	3.572705912	3.339503218	3.044478668
25.m01902_at	4.520952132	4.272406744	4.627146377	5.180583564	4.662434681	4.465647419	4.413054628	3.992471147	4.004125803	4.163894811	3.742402256	3.952183503	4.111876913	3.684755202
25.m01903_s_at	4.208826093	4.920818176	8.4909828	7.328633902	7.337313023	7.073693839	7.438433922	7.830724549	3.843940668	3.730771478	7.403633961	7.395834339	6.456724626	6.633948285
25.m02917_at	3.222105992	3.58836118	6.034991987	5.284019219	4.508008796	4.721824325	3.709275817	3.96150309	5.130789197	4.646330241	4.411884823	4.489320224	4.107170565	3.881819631
25.m02918_at	4.177370272	4.403556002	4.685723192	4.020072278	4.745850513	4.952652573	3.609154829	4.206846559	4.201035072	4.078238154	4.591233878	4.812664511	4.851379808	4.828635991
25.m02921_at	3.814971882	3.861982283	3.222747243	3.907606907	3.715939933	3.798061224	4.134819195	4.404764993	3.509381338	3.863423669	3.864360294	4.034771775	3.721318458	3.648031618
25.m02922_at	3.284587495	2.852784419	3.629606137	3.064406342	3.523689384	2.732307874	3.277520679	3.677593542	3.165721224	3.523800348	3.569341849	3.411296951	2.908337103	2.910607189
25.m02923_at	3.347783766	3.324017793	3.181991083	3.14049819	3.643040468	3.59686517	3.493642771	3.840266378	3.660936447	3.536054466	3.889726845	3.692682152	3.817062773	3.459585765
25.m02924_at	3.464417853	3.281824672	3.66873175	3.873801589	3.421751731	3.668211758	3.679394696	4.081442061	4.273446899	4.446615065	4.281093477	4.579044425	4.658805657	4.792839043
25.m02925_at	3.876989782	3.618789258	3.522702755	3.263695635	3.585351728	3.869404669	3.847226813	3.706222647	3.558151874	4.042867595	4.175243234	3.961835165	4.003358785	4.156748904
25.m02926_at	3.639598587	3.844780946	3.419962994	3.851589397	3.32722523	4.091514703	3.263325323	3.614086872	3.428783231	3.44343115	3.955128084	3.553597897	3.072456197	3.407323261
25.m02927_at	4.809999108	5.034176252	4.431402042	5.928755138	4.756182867	4.659726031	5.216615263	5.183240943	4.342543155	4.894989125	4.970603312	5.146487346	5.011812204	4.977767869
25.m02928_at	5.723179045	5.2321658	7.188854668	7.309421231	6.734755719	6.884741139	6.470260944	6.231481063	5.273014847	5.09081697	5.551456058	5.677598608	5.898765579	5.958067459
25.m02929_at	6.298629807	7.444183943	5.091315404	4.934701745	5.399773824	5.479704538	5.605000434	5.956600478	5.161335329	5.26825712	5.730836579	5.730897462	5.689212071	5.467563178
25.m02930_at	4.503486863	3.863203353	3.966937537	3.687949007	3.809436866	4.019103534	4.32947645	4.60654411	4.716275679	4.395091844	4.342484777	4.36762503	4.606915656	4.485343934
25.m02931_at	4.541743158	4.465543014	5.482957849	5.549827649	4.630267997	4.680863384	4.125094696	3.985717969	4.152582096	4.376295934	4.20143135	4.343487535	4.004398074	4.148367454
25.m02932_at	3.491507411	3.569115203	3.535531892	4.193024163	3.92098694	3.684764407	3.902641126	3.323588946	3.516596414	3.537466435	3.045445271	3.448374451	3.495505295	3.752198762
25.m02933_at	4.797870684	4.502122874	8.039433042	6.768213323	7.187193281	7.484406671	4.402468333	3.878573042	3.639514977	3.847982453	3.974872366	4.007992137	3.978877005	3.425879289
25.m02934_at	5.963068035	6.83394488	4.969830499	4.902603757	4.701342542	4.403280065	5.36293115	5.02965925	4.433953899	4.633266103	4.860916056	4.775132653	4.413283574	3.780117038
25.m02935_at	4.553942131	4.744416807	4.482424457	5.123219433	4.514341277	4.686582306	4.342231342	4.261298828	3.963177768	4.366231844	4.443704867	4.286731927	4.059387397	4.283332139
25.m02937_at	5.461084201	5.367857493	5.489017324	5.347715454	4.893953412	4.809377667	4.760900898	4.721089654	5.004169319	4.741917822	4.801881523	4.990071289	4.696117431	4.665691244
25.m02938_at	3.79420203	3.894922702	3.968118014	3.998249466	3.710790205	3.917688685	4.300027749	3.836703728	3.763199955	4.007060084	3.756070231	3.351940161	3.819845789	3.608856285
